goos: darwin
goarch: arm64
pkg: github.com/krishna-kudari/ratelimit
cpu: Apple M4
BenchmarkFixedWindow_DistinctKeys-10         	 4199833	       319.6 ns/op	      18 B/op	       2 allocs/op
BenchmarkGCRA_DistinctKeys-10                	 4143030	       260.5 ns/op	      18 B/op	       2 allocs/op
BenchmarkGCRA_DistinctKeys-10                	 4647352	       286.1 ns/op	      17 B/op	       2 allocs/op
BenchmarkGCRA_DistinctKeys-10                	 4379433	       325.8 ns/op	      17 B/op	       2 allocs/op
BenchmarkCMS_DistinctKeys-10                 	 2725230	       502.3 ns/op	      15 B/op	       1 allocs/op
BenchmarkCMS_DistinctKeys-10                 	 2807941	       407.3 ns/op	      15 B/op	       1 allocs/op
BenchmarkCMS_DistinctKeys-10                 	 3035395	       352.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkSlidingWindow_WindowSizes/1s-10     	15448107	        68.60 ns/op	     121 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1s-10     	19318666	        62.57 ns/op	     121 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1s-10     	19675141	        62.20 ns/op	     144 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1m-10     	19235161	        65.11 ns/op	     122 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1m-10     	19659735	        65.67 ns/op	     149 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1m-10     	18811971	        65.26 ns/op	     124 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1h-10     	19661226	        64.40 ns/op	     149 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1h-10     	19834915	        64.08 ns/op	     148 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/1h-10     	19747939	        64.27 ns/op	     148 B/op	       0 allocs/op
BenchmarkSlidingWindow_WindowSizes/24h-10    	19707318	        63.48 ns/op	     148 B/op	       0 allocs/op
